,test_sample,verified,time,adv,true
0,test-0.npy,2.0,0.05722782,1,8
1,test-0.npy,-3.4659606915059507,0.412037203,1,8
2,test-0.npy,-0.897230635820284,0.458156861,2,8
3,test-0.npy,-2.3659950170532644,0.446164072,3,8
4,test-0.npy,-4.954289178388784,0.467350161,4,8
5,test-0.npy,-3.454335383486595,0.386798598,5,8
6,test-0.npy,-4.828003645954288,0.436786829,6,8
7,test-0.npy,-7.937274495668759,0.445425182,7,8
8,test-0.npy,-4.775145210400036,0.452193554,9,8
9,test-1.npy,-11.370113137946454,0.504170664,1,8
10,test-1.npy,-1.036033736271946,0.385092298,2,8
11,test-1.npy,-0.97470301757096,0.402882035,3,8
12,test-1.npy,1.0753485988783698,0.389691352,4,8
13,test-2.npy,-4.110197093318245,0.418625367,2,1
14,test-2.npy,-3.500595168801366,0.468769252,3,1
15,test-2.npy,-4.473013469193134,0.42517266,4,1
16,test-2.npy,-4.630349651693979,0.433356854,5,1
17,test-2.npy,-7.28188363201965,0.428884882,6,1
18,test-2.npy,-3.9657358336820008,0.41497657,7,1
19,test-2.npy,-4.586289575644456,0.465117964,8,1
20,test-2.npy,-4.583380053520188,0.439216699,9,1
21,test-3.npy,-1.6179778436952872,0.452066953,2,1
22,test-3.npy,-3.4920186136549383,0.438914212,3,1
23,test-3.npy,-3.659965064939583,0.411863777,4,1
24,test-3.npy,-4.530017180282731,0.476062796,5,1
25,test-3.npy,-3.698646542292256,0.44039115,6,1
26,test-3.npy,-4.289637409249253,0.459410226,7,1
27,test-3.npy,-2.860266031269396,0.441235025,8,1
28,test-3.npy,-5.432175423949596,0.485606657,9,1
29,test-4.npy,-1.952977319203533,0.438845535,1,3
30,test-4.npy,-2.750879799535554,0.454887294,2,3
31,test-4.npy,-7.132714570990251,0.444468568,4,3
32,test-4.npy,-0.5097556064298345,0.439164027,5,3
33,test-4.npy,-9.18526464897992,0.433625304,6,3
34,test-4.npy,-8.975443105847567,0.427660808,7,3
35,test-4.npy,-2.204772584115485,0.433017338,8,3
36,test-4.npy,-7.65778727230601,0.38341392,9,3
37,test-5.npy,1.138983048148954,0.49236367,1,3
38,test-6.npy,-7.202276767480003,0.418906754,1,5
39,test-6.npy,-2.6191173947422395,0.387225197,2,5
40,test-6.npy,-3.999125031786951,0.42322724,3,5
41,test-6.npy,-2.437074170121703,0.44696015,4,5
42,test-6.npy,1.1488869422846055,0.444883174,6,5
43,test-7.npy,-13.390713650137169,0.450511625,1,0
44,test-7.npy,-7.744623018490943,0.434002115,2,0
45,test-7.npy,-5.984102624631527,0.449087292,3,0
46,test-7.npy,-12.15156002274125,0.434185934,4,0
47,test-7.npy,-5.6470627431405385,0.436072232,5,0
48,test-7.npy,-9.808697392945763,0.473036483,6,0
49,test-7.npy,-14.2750674810959,0.445251423,7,0
50,test-7.npy,-6.291308509067304,0.449183361,8,0
51,test-7.npy,-12.128257274182255,0.444741769,9,0
52,test-8.npy,-10.144696297578452,0.440519819,1,2
53,test-8.npy,-3.4382110579608023,0.429372767,3,2
54,test-8.npy,-3.886868981530096,0.442220955,4,2
55,test-8.npy,-4.557565340392551,0.443272883,5,2
56,test-8.npy,-3.61084211489374,0.450989986,6,2
57,test-8.npy,-4.060882070777385,0.483193456,7,2
58,test-8.npy,-3.2497864485831767,0.439584977,8,2
59,test-8.npy,-2.3083091088763745,0.444753801,9,2
60,test-9.npy,-4.369807705082311,0.435271949,1,5
61,test-9.npy,-0.4874165020119108,0.407998874,2,5
62,test-9.npy,-1.247676081638451,0.409503796,3,5
63,test-9.npy,-0.053634159824308,0.401991537,4,5
64,test-9.npy,-1.9087936098591152,0.392729047,6,5
65,test-9.npy,-2.766476935402064,0.413724002,7,5
66,test-9.npy,-2.245048530050031,0.393759201,8,5
67,test-9.npy,-1.6786520971210577,0.40534638,9,5
68,est-10.npy,-4.828874584725446,0.382346054,1,9
69,est-10.npy,-0.744308692867776,0.382258597,2,9
70,est-10.npy,-1.9535326207032304,0.430481419,3,9
71,est-10.npy,-1.8975702819164328,0.438812309,4,9
72,est-10.npy,-0.6103576653253596,0.389001837,5,9
73,est-10.npy,-2.0409992893408315,0.378809659,6,9
74,est-10.npy,-1.3519583846954188,0.396915256,7,9
75,est-10.npy,1.308505671333542,0.424642756,8,9
76,est-11.npy,-2.794882741317677,0.390594244,2,1
77,est-11.npy,-5.594164957985107,0.412921281,3,1
78,est-11.npy,-6.212682522588528,0.375403513,4,1
79,est-11.npy,-7.421137934116854,0.404917095,5,1
80,est-11.npy,-4.449497792418851,0.390098786,6,1
