,test_sample,verified,time,adv,true
0,test-0.npy,-7.978106453669593,2747.666699019,1,8
1,test-0.npy,-3.680961438798672,2939.393659606,2,8
2,test-0.npy,-4.352638497239947,2558.343888639,3,8
3,test-0.npy,-6.835630958639334,2484.684301747,4,8
4,test-0.npy,-6.946492648436824,2378.676738454,5,8
5,test-0.npy,-11.302070853139346,2302.481397576,6,8
6,test-0.npy,-6.759260070885158,2278.310228586,7,8
7,test-0.npy,-5.043263967440119,2466.572773454,9,8
8,test-1.npy,-4.917245185381118,2288.551989072,1,8
9,test-1.npy,-0.8921335208804493,2328.300687945,2,8
10,test-1.npy,-0.4418583416867966,2312.639118674,3,8
11,test-1.npy,0.1017987075752097,2265.754706897,4,8
12,test-1.npy,-0.2154380571193768,2349.770867951,5,8
13,test-1.npy,-8.22215691596041,2435.303341815,6,8
14,test-1.npy,2.54844329841237,1761.544085315,7,8
15,test-1.npy,4.245032134721609,1847.867508766,9,8
16,test-2.npy,-5.136970996563012,1726.660411133,2,1
17,test-2.npy,-5.249544029986556,1729.5625675,3,1
18,test-2.npy,-2.82556529395532,1714.754533867,4,1
19,test-2.npy,-7.756963509480294,1717.03757984,5,1
20,test-2.npy,-7.628190199913009,1674.271049636,6,1
21,test-2.npy,-2.445028334918128,1744.663748375,7,1
22,test-2.npy,-5.068139953924205,1794.263527117,8,1
23,test-2.npy,-5.471984401653248,2225.59142268,9,1
24,test-3.npy,-1.508392812145817,1991.012661396,2,1
25,test-3.npy,-3.782631384864705,1985.452573957,3,1
